title;price;seller;ram;memory
Xiaomi Redmi Note 11 Pro 8/128Gb;132 800;mobihouse;8 Гб;128Гб
Apple iPhone 13 Pro 128Gb Graphite;517 998;Eva Phone;6 Гб;128Гб
Apple iPhone 13 Pro 256Gb Graphite;570 998;Eva Phone;6 Гб;256Гб
Apple iPhone 13 Pro Max 128Gb Graphite;563 998;Eva Phone;6 Гб;128Гб
Apple iPhone 13 Pro Max 256Gb Graphite;615 997;Eva Phone;6 Гб;256Гб
Apple iPhone 13 128Gb Midnight;404 998;Eva Phone;4 Гб;128Гб
Apple iPhone 13 128Gb Midnight;404 998;Eva Phone;4 Гб;128Гб
Apple iPhone 13 256Gb Midnight;449 988;Eva Phone;4 Гб;256Гб
Xiaomi Redmi Note 11 Pro 5G 8/128Gb Polar White;145 000;Альтернатива Трейд;8 Гб;128Гб
Samsung Galaxy S22 Ultra 5G 12/256Gb Phantom Black;500 000;Альтернатива Трейд;12 Гб;256Гб
Samsung Galaxy S22 Plus 5G 8/128Gb Phantom Black;373 164;Альтернатива Трейд;8 Гб;128Гб
Apple iPhone 13 Pro Max 256Gb;614 000;Альтернатива Трейд;;
Apple iPhone 13 Pro Max 128Gb Silver;562 000;Альтернатива Трейд;6 Гб;128Гб
